NAME,DISTRICT,OFFICE,CYCLECAND,CURCAND,PARTY,INCUMBENCY,Netreceipts,NetDisbments,Inidv,ECOH,CandContrib,CandLoan,CandLoanRepay,DebtOwed,EndDate,,#REF!
"Ocasio-Cortez, Alexandria",NY 014,US HOUSE,Y,1,D,Incumbent,"23,514,662.90","13,840,399.90","23,345,863.00","13,408,910.00",0,0,0,0,12/31/2025,,#REF!
"Johnson, Mike",LA 004,US HOUSE,Y,1,R,Incumbent,"14,480,595.00","6,580,483.00","7,868,133.00","9,152,488.00",0,0,0,0,12/31/2025,,#REF!
"Jeffries, Hakeem",NY 008,US HOUSE,Y,1,D,Incumbent,"10,206,976.35","9,296,799.35","7,686,947.00","5,864,742.00",0,0,0,0,12/31/2025,,#REF!
"Khanna, Ro",CA 017,US HOUSE,Y,1,D,Incumbent,"9,141,498.19","4,395,627.19","9,095,652.00","15,454,963.00",0,0,0,89348,12/31/2025,,#REF!
"Scalise, Steve",LA 001,US HOUSE,Y,1,R,Incumbent,"7,823,614.00","6,426,480.00","826,830.00","5,528,286.00",0,0,0,0,12/31/2025,,#REF!
"Vindman, Yevgeny",VA 007,US HOUSE,Y,1,D,Incumbent,"6,983,207.27","2,996,820.27","6,359,966.00","4,121,320.00",0,0,0,0,12/31/2025,,#REF!
"Emmer Jr, Tom",MN 006,US HOUSE,Y,1,R,Incumbent,"6,746,785.70","3,490,106.70","1,616,564.00","4,945,131.00",0,0,0,0,12/31/2025,,#REF!
"Laubacher, Eileen",CO 004,US HOUSE,Y,1,D,Not an Incumbent,"6,411,926.86","3,883,211.86","6,439,239.00","2,528,714.00",0,0,0,0,12/31/2025,,#REF!
"Kim, Young",CA 040,US HOUSE,Y,1,R,Incumbent,"6,224,162.88","2,464,896.88","3,793,203.00","5,496,764.00",0,0,0,428174,12/31/2025,,#REF!
"Chatzky, Peter",NY 017,US HOUSE,Y,1,D,Not an Incumbent,"5,801,509.00","277,434.00","300,254.00","5,524,075.00",5,5751000,250000,5501000,12/31/2025,,#REF!
"Crane, Eli",AZ 002,US HOUSE,Y,1,R,Incumbent,"5,555,974.82","3,467,146.82","4,915,773.00","2,406,198.00",0,0,0,0,12/31/2025,,#REF!
"Lawler, Mike",NY 017,US HOUSE,Y,1,R,Incumbent,"5,137,519.28","1,798,016.28","2,035,916.00","3,508,871.00",0,0,0,0,12/31/2025,,#REF!
"Torres, Ritchie",NY 015,US HOUSE,Y,1,D,Incumbent,"5,041,317.00","1,530,194.00","1,713,255.00","14,935,105.00",0,0,0,0,12/31/2025,,#REF!
"Constantino, Anthony",NY 021,US HOUSE,Y,1,R,Not an Incumbent,"5,001,594.39","2,253,247.39",0,"5,055,233.00",0,5000000,0,7600000,12/31/2025,,#REF!
"Trone, David",MD 006,US HOUSE,Y,1,D,Not an Incumbent,"4,826,586.26","1,200,411.26",480,"3,630,017.00",406107,5000000,580000,5000000,12/31/2025,,#REF!
"Allred, Colin",TX 033,US HOUSE,Y,1,D,Not an Incumbent,"4,605,493.00","3,133,535.00","577,693.00","1,471,957.00",0,0,0,0,12/31/2025,,#REF!
"Raskin, Jamie",MD 008,US HOUSE,Y,1,D,Incumbent,"4,325,273.39","2,913,319.39","3,746,605.00","6,377,157.00",0,0,0,0,12/31/2025,,#REF!
"Calvert, Ken",CA 040,US HOUSE,Y,1,R,Incumbent,"4,294,898.13","1,140,152.13","1,604,945.00","3,416,882.00",0,0,0,5158,12/31/2025,,#REF!
"Wood, Jordan",ME 002,US HOUSE,Y,1,D,Not an Incumbent,"4,285,895.88","3,653,293.88","4,022,517.00","632,601.00",11149,250000,0,250000,12/31/2025,,
"Fitzpatrick, Brian",PA 001,US HOUSE,Y,1,R,Incumbent,"4,277,506.52","1,339,515.52","1,128,116.00","7,360,520.00",0,0,0,24750,12/31/2025,,
"Van Orden, Derrick",WI 003,US HOUSE,Y,1,R,Incumbent,"4,268,119.00","2,050,199.00","2,455,557.00","2,734,726.00",0,0,0,0,12/31/2025,,
