DISTRICT,NAME,PARTY,Netreceipts,INCUMBENCY,Previously held by
AZ 001,"Treble, Jonathan",D,2078343.0,Not an Incumbent,R
AZ 001,"Feely, Thomas",R,1051263.0,Not an Incumbent,R
AZ 006,"Mendoza, Joanna",D,2886764.0,Not an Incumbent,R
AZ 006,"Ciscomani, Juan",R,3891338.07,Incumbent,R
CA 022,"Villegas, Randy",D,872779.0,Not an Incumbent,R
CA 022,"Valadao, David",R,3033787.0,Incumbent,R
CA 048,"Riker, Brandon",D,1520650.46,Not an Incumbent,R
CA 048,"Issa, Darrell",R,1431703.39,Incumbent,R
CO 008,"Rutinel, Manny",D,2481539.84,Not an Incumbent,R
CO 008,"Evans, Timothy",R,2994290.79,Incumbent,R
IA 001,"Bohannan, Christina",D,2961456.01,Not an Incumbent,R
IA 001,"Miller-Meeks, Mariannette",R,4115845.96,Incumbent,R
IA 003,"Trone Garriott, Sarah",D,1384159.67,Not an Incumbent,R
IA 003,"Nunn, Zach",R,2614010.77,Incumbent,R
MI 007,"Brink, Bridget",D,1639079.88,Not an Incumbent,R
MI 007,"Barrett, Tom",R,3743056.0,Incumbent,R
NJ 007,"Bennett, Rebecca",D,1940198.09,Not an Incumbent,R
NJ 007,"Kean, Tom",R,3217539.31,Incumbent,R
NY 017,"Chatzky, Peter",D,5801509.0,Not an Incumbent,R
NY 017,"Lawler, Mike",R,5137519.28,Incumbent,R
OH 001,"Landsman, Greg",D,1809034.39,Incumbent,D
OH 001,"Conroy, Eric",R,599704.0,Not an Incumbent,D
OH 009,"Kaptur, Marcy",D,1691383.0,Incumbent,D
OH 009,"Williams, Josh",R,556139.0,Not an Incumbent,D
PA 007,"Crosswell, Ryan",D,1131097.85,Not an Incumbent,R
PA 007,"Mackenzie, Ryan",R,2544258.83,Incumbent,R
PA 010,"Stelson, Janelle",D,2185236.05,Not an Incumbent,R
PA 010,"Perry, Scott",R,2871690.03,Incumbent,R
TX 034,"Gonzalez, Vicente",D,1513030.0,Incumbent,D
TX 034,"Flores, Mayra",R,1160512.42,Not an Incumbent,D
VA 002,"Luria, Elaine",D,1126427.0,Not an Incumbent,R
VA 002,"Kiggans, Jen",R,3550444.88,Incumbent,R
WA 003,"Perez, Marie",D,3145377.61,Incumbent,D
WA 003,"Braun, John",R,837128.0,Not an Incumbent,D
WI 003,"Berge, Emily",D,388034.0,Not an Incumbent,R
WI 003,"Van Orden, Derrick",R,4268119.0,Incumbent,R
